test_name,method,endpoint,requests,successes,errors,error_rate,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,std_ms,ci95_low_ms,ci95_high_ms
test_health_response_time,GET,/health,120,120,0,0.0,4.205350499948206,4.268246499123052,5.264912451457349,7.611027280618151,1.8258620002598036,15.760525999212405,1.4363981668427994,3.9483462586188414,4.46235474127757
test_next_task_response_time,GET,/tasks/next,120,120,0,0.0,7.256251174900778,7.22856750144274,9.606723099568626,10.840020291107068,3.5326010001881514,16.993401000945596,1.8522272087678349,6.9248456777709,7.587656672030656
test_answer_task_response_time,POST,/tasks/answer,120,120,0,0.0,23.001296941856708,23.83980600097857,30.86469755253347,32.455575150379445,11.879892001161352,33.5406240010343,5.548321685767987,22.008576233617237,23.99401765009618
test_user_stats_response_time,GET,/users/1/stats,120,120,0,0.0,8.695722458317809,8.681889999934356,10.6691315981152,10.840007690130733,5.203882003115723,11.055693998059724,1.280210627179319,8.466663713622252,8.924781203013366
test_analytics_summary_response_time,GET,/analytics/summary,120,120,0,0.0,8.260905591669143,8.139166000546538,10.902679400896886,11.491438019620546,5.2176680001139175,11.597237000387395,1.5042680556542953,7.991757886441154,8.530053296897133
test_user_progress_response_time,GET,/analytics/users/1/progress,120,120,0,0.0,6.778206258453186,6.95011199968576,8.330058398678375,9.14013269950374,4.137904998060549,9.24589300120715,1.142876483038158,6.573719709920478,6.982692806985894
test_health_response_time,GET,/health,120,120,0,0.0,4.26076718334419,3.8133739999466343,5.265539900938165,6.563477072231764,2.0114469989493955,54.419454998424044,4.688750973598479,3.421843189587886,5.099691177100494
test_next_task_response_time,GET,/tasks/next,120,120,0,0.0,7.076389108533476,7.400205000521964,9.300867250749434,9.992281839913632,3.6069460002181586,13.319942998350598,1.7188221612609471,6.768852802979758,7.383925414087194
test_answer_task_response_time,POST,/tasks/answer,120,120,0,0.0,17.462032274822075,16.61869549752737,26.552703450033732,29.88855383846385,10.377640999649884,40.979704001074424,5.223222145446173,16.527479254794418,18.396585294849732
test_user_stats_response_time,GET,/users/1/stats,120,120,0,0.0,6.832099933429466,6.240639999305131,10.490672600644757,11.788424027508883,3.7048180020065047,12.252608001290355,2.0069268464416608,6.473015159110256,7.1911847077486755
test_analytics_summary_response_time,GET,/analytics/summary,120,120,0,0.0,7.623593666782351,7.666367999263457,11.343622053209401,12.553339370242611,4.160340999078471,13.964746998681221,2.281859000530974,7.215317288554262,8.03187004501044
test_user_progress_response_time,GET,/analytics/users/1/progress,120,120,0,0.0,6.257088058252218,6.291247500485042,8.57458864866203,9.330735070434457,3.1943080030032434,9.83884600282181,1.5325153375727025,5.982886273015888,6.531289843488548
