test_name,check_type,requests,successes,errors,error_rate,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,std_ms,ci95_low_ms,ci95_high_ms
test_numeric_answer_check_latency,numeric_answer,1000,1000,0,0.0,0.0007813360170985106,0.0007239978003781289,0.0008841996532282791,0.001070112302841153,0.0006869995559100062,0.024823999410727993,0.0007934852873140148,0.0007321552894627008,0.0008305167447343204
test_text_answer_check_latency,text_answer,1000,1000,0,0.0,0.0005093020881759003,0.000486001226818189,0.0005349977072910406,0.0006320969987427815,0.000447998900199309,0.009301002137362957,0.00036572376987521824,0.0004866342940734286,0.000531969882278372
test_single_choice_check_latency,single_choice,1000,1000,0,0.0,0.0003401809008209966,0.0003320019459351897,0.0003749992174562067,0.0004120610901736654,0.0003069981175940484,0.0023649990907870233,6.979094808795639e-05,0.0003358552130429945,0.0003445065885989987
test_code_answer_check_latency,code_answer,1000,1000,0,0.0,5.497756705019128,5.455900498418487,5.965979799475462,6.351929750708223,4.797685000085039,13.553091001085704,0.4361933059606714,5.470721163818822,5.524792246219435
test_external_api_check_or_generation_latency_mocked,external_api_mocked,1000,1000,0,0.0,13.291947581990826,13.14433200059284,13.90796244959347,15.765360490331657,12.952225999470102,20.16634300161968,0.5177919993438658,13.259854501376902,13.32404066260475
test_compare_local_check_vs_external_api_latency,comparison,0.0008269110549008474,13.219728780048172,13.218901868993271,0.0008290506229968742,13.781879399903119
test_numeric_answer_check_latency,numeric_answer,1000,1000,0,0.0,0.0016037490604503546,0.00141999771585688,0.0021944995751255188,0.0030797697036177847,0.0010129988368134946,0.033178999728988856,0.0014665190104448495,0.0015128532704734917,0.0016946448504272175
test_text_answer_check_latency,text_answer,1000,1000,0,0.0,0.0008016190258786082,0.000743499185773544,0.0011103016731794921,0.001277329683944117,0.0005649999366141856,0.007965001714183018,0.00037141609297946767,0.0007785984179348708,0.0008246396338223457
test_single_choice_check_latency,single_choice,1000,1000,0,0.0,0.0006187390172271989,0.0005720012268284336,0.0008140512363752349,0.0009300683450419455,0.00043799809645861387,0.01754700133460574,0.0005573612242042499,0.000584193410647473,0.0006532846238069248
test_code_answer_check_latency,code_answer,1000,1000,0,0.0,4.292236859018885,4.186903499430628,4.979679699499684,5.6136005924781776,3.6214339997968636,11.90599500114331,0.4741302738224051,4.2628499601896905,4.32162375784808
test_external_api_check_or_generation_latency_mocked,external_api_mocked,1000,1000,0,0.0,13.287279080042936,13.08113349841733,15.184073097952933,16.425152528499893,12.888697001471883,20.357900000817608,0.7377298554891127,13.241554109874388,13.333004050211484
test_compare_local_check_vs_external_api_latency,comparison,0.0007685119962843601,13.340322958039906,13.339554446043621,0.0007560509402537718,14.741898898682845
